クラス,カテゴリ,種別,問題文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解,解説
基礎クラス,コマンド基礎,単一,manでセクション1のマニュアルを表示するコマンドは？,man command(1),man 1 command,man -s 1 command,,,2,"セクション番号をコマンド名の前に置く。1=コマンド,5=設定ファイル。"
基礎クラス,コマンド基礎,記述,locateが使うデータベースを更新するコマンドは？,,,,,,updatedb,findは実走査、locateは事前DBを高速検索。DB更新はupdatedb。
基礎クラス,ファイル操作,単一,ファイルの種類を中身から判定するコマンドは？,type,file,stat,magic,,2,fileはmagicデータベースを参照。拡張子に依存しない。
基礎クラス,ファイル操作,複数,ディレクトリを再帰的に削除できるのはどれ？（2つ）,rm -r dir,rmdir dir,rm -rf dir,del dir,,"1,3",-rで再帰、-fで確認なし。rmdirは空のみ。
基礎クラス,パーミッション,単一,rwxr-xr-- を8進数で表すと？,740,754,755,644,,2,"r=4,w=2,x=1。所有者7・グループ5・他者4。"
基礎クラス,パーミッション,記述,所有グループだけを変更するコマンドは？,,,,,,chgrp,chgrp grp file。chown :grp file でも可。
基礎クラス,テキスト処理,単一,一致した行数を出力するgrepのオプションは？,-n,-c,-v,-l,,2,"-c=count。-n=行番号,-v=反転,-l=該当ファイル名。"
基礎クラス,viエディタ,単一,現在行を含め2行を削除するviコマンドは？,2d,dd2,2dd,d2,,3,"数字はコマンドの前。2dd=2行削除,2yy=2行コピー。"
基礎クラス,アーカイブ,記述,gzip圧縮を展開するコマンドは？（別解あり）,,,,,,gunzip;gzip -d,gunzip file.gz もしくは gzip -d file.gz。
応用クラス,シェルスクリプト,記述,スクリプトに渡された引数の個数を表す変数は？,,,,,,$#,"$#=引数の数,$1..$n=各引数,$@=全引数。"
応用クラス,シェルスクリプト,単一,ifテストで数値の等価を判定する演算子は？,==,-eq,=,-is,,2,数値は -eq -ne -lt 等。文字列は = != 。
応用クラス,プロセス管理,単一,systemd環境でPID1のプロセスは？,init,systemd,kthreadd,bash,,2,現代Linuxは PID1=systemd。ps -p 1 で確認。
応用クラス,プロセス管理,複数,www-dataユーザーのPIDを表示するのは？（2つ）,pgrep -u www-data,pgrep -c www-data,pgrep -U 33,pgrep -f 33,,"1,3","-u=名前,-U=UID。-c=件数,-f=コマンドライン照合。"
応用クラス,パッケージ管理,記述,Debian系で.debを直接導入する低レベルコマンドは？,,,,,,dpkg,dpkg -i file.deb。依存解決はaptが担う。
応用クラス,ネットワーク,単一,経路表とデフォルトGWを確認するコマンドは？,ip addr,ip route,ip link,ss -r,,2,ip routeで経路表。ip addrはアドレス確認。
応用クラス,システム起動,単一,サービスのログを参照するsystemdコマンドは？,syslog,journalctl,dmesg,logread,,2,journalctl -u サービス名。-bで今回起動分。
応用クラス,ネットワーク,記述,ICMPで到達性を確認する基本コマンドは？,,,,,,ping,ping host で到達性とRTTを確認。
